"110年03月31日 個股日本益比、殖利率及股價淨值比"
"證券代號","證券名稱","殖利率(%)","股利年度","本益比","股價淨值比","財報年/季",
"1101","台泥","7.48","109","11.06","1.36","109/4",
"1102","亞泥","7.43","109","11.19","1.13","109/3",
"1103","嘉泥","6.71","109","7.61","0.55","109/4",
"1104","環泥","4.80","109","11.99","0.80","109/4",
"1108","幸福","5.49","109","13.14","1.11","109/4",
"1109","信大","6.51","109","7.84","1.05","109/4",
"1110","東泥","0.62","109","405.00","1.09","109/4",
"1201","味全","2.46","109","20.33","1.59","109/4",
"1203","味王","2.88","109","21.10","1.76","109/4",
"1210","大成","4.03","108","13.68","2.12","109/4",
"1213","大飲","0.00","108","-","1.02","109/4",
"1215","卜蜂","5.22","108","12.39","2.47","109/4",
"1216","統一","3.70","109","19.26","3.62","109/4",
"1217","愛之味","0.00","108","19.23","0.73","109/4",
"1218","泰山","4.67","109","17.14","2.08","109/4",
"1219","福壽","1.82","108","11.49","1.60","109/4",
"1220","台榮","7.17","109","13.68","1.04","109/4",
"1225","福懋油","2.59","109","31.40","3.58","109/4",
"1227","佳格","4.27","109","16.55","3.01","109/4",
"1229","聯華","5.70","109","19.49","1.90","109/4",
"1231","聯華食","4.40","109","15.80","2.68","109/4",
"1232","大統益","4.23","109","17.57","4.99","109/4",
"1233","天仁","2.28","109","55.79","2.12","109/4",
"1234","黑松","5.20","109","15.66","0.77","109/4",
"1235","興泰","3.77","108","44.85","0.98","109/4",
"1236","宏亞","1.44","109","-","0.94","109/4",
"1256","鮮活果汁-KY","2.71","109","19.25","5.67","109/4",
"1301","台塑","2.38","109","32.06","1.93","109/4",
"1303","南亞","3.01","109","24.63","1.84","109/4",
"1304","台聚","3.92","109","11.33","1.30","109/4",
"1305","華夏","6.17","109","12.64","2.13","109/4",
"1307","三芳","2.32","109","39.18","1.09","109/4",
"1308","亞聚","5.69","109","12.95","1.18","109/4",
"1309","台達化","6.95","109","7.73","2.34","109/4",
"1310","台苯","2.59","109","35.09","1.40","109/4",
"1312","國喬","0.00","108","6.19","0.90","109/4",
"1313","聯成","4.85","109","12.48","1.07","109/4",
"1314","中石化","2.74","108","52.14","0.51","109/4",
"1315","達新","10.65","109","1.85","0.82","109/4",
"1316","上曜","0.00","108","58.75","1.11","109/4",
"1319","東陽","2.21","109","26.08","0.99","109/4",
"1321","大洋","2.79","109","11.05","1.20","109/4",
"1323","永裕","4.65","109","10.65","1.40","109/4",
"1324","地球","2.83","109","48.18","0.82","109/4",
"1325","恆大","12.61","109","4.11","2.18","109/4",
"1326","台化","2.85","109","26.23","1.49","109/4",
"1337","再生-KY","0.00","108","-","0.36","109/4",
"1338","廣華-KY","5.01","109","19.89","0.93","109/4",
"1339","昭輝","4.98","109","25.25","0.86","109/4",
"1340","勝悅-KY","0.00","108","-","0.29","109/4",
"1341","富林-KY","7.25","108","10.97","2.80","109/4",
"1342","八貫","4.39","109","19.69","2.65","109/4",
"1402","遠東新","4.47","109","20.00","0.79","109/4",
"1409","新纖","6.29","109","9.78","0.89","109/4",
"1410","南染","2.65","109","35.68","1.96","109/4",
"1413","宏洲","0.00","108","-","1.09","109/4",
"1414","東和","1.42","108","52.22","0.99","109/4",
"1416","廣豐","4.44","109","-","0.59","109/4",
"1417","嘉裕","2.52","109","-","0.88","109/4",
"1418","東華","0.00","108","-","0.94","109/4",
"1419","新紡","2.46","109","33.28","1.34","109/4",
"1423","利華","8.13","109","8.65","1.02","109/4",
"1432","大魯閣","26.14","108","-","1.43","109/4",
"1434","福懋","3.25","109","24.64","0.84","109/4",
